"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","13","test_search_logic[\u6bdb\u5dfe-0-has_data-\u6b63\u5411-\u7cbe\u51c6\u5173\u952e\u8bcd\u641c\u7d22]","scripts","2026-03-15","passed","2026-03-15","TestSearch","test_search","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","26","test_address_lifecycle[\u6d4b\u5c0f\u5f00-13800001111-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u77ed-110101-True-401-\u8fb9\u754c-\u5730\u5740\u5c11\u4e8e5\u5b57-\u5e94\u62e6\u622a]","scripts","2026-03-15","failed","2026-03-15","TestAddress","test_address","",""
"
        验证结算页面的金额计算逻辑
        校验点：1. 接口连通性；2. 运费策略触发；3. 应付总额核算一致性
        ","41","test_checkout_price_logic[1046002-3-60-0-8.0-37.97-\u8d2d\u7269\u8f66\u7ed3\u7b97\u91d1\u989d\u7cbe\u5ea6\u6821\u9a8c-9.99\u5143\u573a\u666f]","scripts","2026-03-15","passed","2026-03-15","TestCheckout","test_checkout","",""
"
        验证添加购物车接口的业务逻辑一致性
        验证点：1. 接口响应状态码；2. 成功加购后购物车内商品数量的数学累加关系
        ","9","test_add_cart[1181000-1-999999-711-\u5f02\u5e38-\u4f7f\u7528\u4e0d\u5b58\u5728\u7684productId]","scripts","2026-03-15","passed","2026-03-15","TestCart","test_cart","",""
"
        验证商品分类详情接口的数据一致性
        验证点：1. 业务响应状态码 (errno)；2. 分类主体名称 (Category Name)
        ","5","test_get_category_details[1005007-0-\u9505\u5177-\u9a8c\u8bc1\u9910\u53a8\u4e0b\u7684\u5b50\u5206\u7c7b-\u9505\u5177]","scripts","2026-03-15","passed","2026-03-15","TestGoods","test_goods","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","24","test_address_lifecycle[\u6d4b\u5c0f\u5f00-13800001111-123-456-789-\u6545\u5bab1\u53f7-110101-True-0-\u5f02\u5e38-\u7701\u5e02\u533a\u4e3a\u7eaf\u6570\u5b57-\u5df2\u77e5Bug(\u540e\u7aef\u672a\u6821\u9a8c)]","scripts","2026-03-15","passed","2026-03-15","TestAddress","test_address","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","39","test_search_logic[-0-has_data-\u8fb9\u754c-\u5173\u952e\u8bcd\u4e3a\u7a7a(\u901a\u5e38\u8fd4\u56de\u9ed8\u8ba4\u5217\u8868)]","scripts","2026-03-15","passed","2026-03-15","TestSearch","test_search","",""
"
        验证结算页面的金额计算逻辑
        校验点：1. 接口连通性；2. 运费策略触发；3. 应付总额核算一致性
        ","28","test_checkout_price_logic[1036002-1-48-0-0.0-100.0-\u6ee1\u51cf\u6d3b\u52a8\u91d1\u989d\u89e6\u53d1\u4e34\u754c\u70b9\u6d4b\u8bd5]","scripts","2026-03-15","passed","2026-03-15","TestCheckout","test_checkout","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","30","test_address_lifecycle[\u59d3\u540d\u8d85\u8fc7\u5341\u4e94\u4e2a\u5b57\u7b26\u7684\u957f\u59d3\u540d\u6d4b\u8bd5-13800001111-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u6545\u5bab1\u53f7-110101-True-401-\u8fb9\u754c-\u59d3\u540d\u8d85\u8fc715\u5b57-\u5e94\u62e6\u622a]","scripts","2026-03-15","failed","2026-03-15","TestAddress","test_address","",""
"
        验证添加购物车接口的业务逻辑一致性
        验证点：1. 接口响应状态码；2. 成功加购后购物车内商品数量的数学累加关系
        ","34","test_add_cart[1181000-1-1-0-\u5546\u54c1\u52a0\u8d2d\u6570\u91cf\u6700\u5c0f\u503c\u8fb9\u754c\u6d4b\u8bd5]","scripts","2026-03-15","passed","2026-03-15","TestCart","test_cart","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","10","test_search_logic[--0-no_data-\u7279\u6b8a-\u641c\u7d22\u5305\u542b\u6a2a\u6760\u7684\u7b26\u53f7]","scripts","2026-03-15","failed","2026-03-15","TestSearch","test_search","",""
